epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,26463.659381866455,26463.659381866455,3765.6972499489784,46.79524972626969,49.830719852397166,55.4282826581319,41.55341891819305,46.84797792869632,69.32450371780017
1,20576.03780055046,20576.03780055046,3635.9169864803553,54.2238692832477,55.747187445747045,57.01170723490272,46.58338385039787,49.882041311825944,70.33433344331985
2,18802.976239562035,18802.976239562035,3551.5066238492727,45.472921755242986,49.5844265777082,55.655689379263876,44.77321035305673,52.67054860230783,69.91612888373913
3,17760.62837612629,17760.62837612629,3470.576413489878,56.380021898425,58.609427901706496,60.296470984586875,51.966328777845135,57.176280550334134,73.01774875497817
4,17041.4855645895,17041.4855645895,3386.642452329397,53.061568264128695,56.327010888321794,59.22681714815127,52.12900651478296,58.98415779428714,72.67934836823487
5,16440.853246212006,16440.853246212006,3305.5392994731665,56.085235408068726,58.963964074428134,61.248210224879976,54.81318917425702,61.14593941794059,74.52175047383727
6,15950.433402657509,15950.433402657509,3235.564520828426,59.15101490777394,61.508551289797566,64.22976501305483,56.92416301536998,62.595148955035164,76.22065853789547
7,15600.87324476242,15600.87324476242,3171.902474299073,55.89151857154889,59.26830771652469,61.012381032594966,57.03773049210015,64.05583223449396,75.25763702913619
8,15134.387374281883,15134.387374281883,3101.1855248305947,51.34338414890929,55.42775175907343,59.74058788848648,54.8009116092051,62.820580485843294,74.74351399258742
9,14802.542416214943,14802.542416214943,3035.6701802015305,57.727617282910806,60.84203409168383,64.76038069569611,59.668198804472105,66.47496584205214,78.5764163322309
10,14069.63149446249,14069.63149446249,2905.866575593129,56.851680282995034,60.43245915390713,64.67615598416576,60.46547318503058,67.7757343205892,79.10358428164734
11,13752.078471660614,13752.078471660614,2844.977284923196,55.68937926387602,59.397265845413855,63.71599427271961,60.49233035858163,68.204539900544,78.6869144176981
12,13466.542835533619,13466.542835533619,2789.4161010682583,59.90903731154721,63.11845476465379,67.11025014739324,63.27780292973396,70.32400348515735,81.32889294730623
13,13289.86739629507,13289.86739629507,2749.47654724773,59.80796765771077,63.05467845965061,66.92495578202644,63.91163222553887,70.86176141625995,81.77779141951673
14,13063.651770353317,13063.651770353317,2702.340193179436,58.224543080939945,61.586153581957056,65.88056935904994,63.56786040408536,70.88746572909908,81.21455812276031
15,12881.388698756695,12881.388698756695,2657.6559343896806,58.95729807125411,62.34760871073008,66.64701423397625,64.75648217067351,71.98539437999885,82.36404515074548
16,12673.955676913261,12673.955676913261,2598.1573037123308,61.425082119093744,64.3975484577869,69.62014655099806,66.39476975728789,72.99492340802799,83.98545108541349
17,12531.75702136755,12531.75702136755,2569.8743878100067,58.99098795586625,62.60533426329719,67.64928830118757,66.29194514997813,73.56977704990253,83.90564691257606
18,12341.080285429955,12341.080285429955,2523.7308586351573,58.70462393666302,62.1560128188544,67.11867261854628,66.35103093179045,73.67636101840746,83.62556495982935
19,12158.141996979713,12158.141996979713,2480.7871908416273,61.87147309020467,65.05420919799697,69.49380948370252,67.90874699775168,74.59671451630284,85.30682402412542
20,11754.59984332323,11754.59984332323,2390.904850631021,60.27120357112777,63.68134926579667,68.63471742609282,68.41749859959023,75.59000144861885,85.31986893699307
21,11628.747786402702,11628.747786402702,2357.86701788567,59.698475532721304,63.200942636255355,67.85985008001347,68.29549029688687,75.51790396382866,85.10654624421612
22,11514.273092091084,11514.273092091084,2338.157295314595,58.3761475616946,62.12618543765515,67.287122041607,68.22642899346987,75.54286589468515,84.99374611530169
23,11388.00654131174,11388.00654131174,2321.295396264177,60.203823801903475,63.662513220005806,68.80316684915354,69.24086280588402,76.36318547256401,86.05805753573922
24,11269.652815759182,11269.652815759182,2284.9861496575177,61.517729301777145,64.85740892575653,70.08338246441505,70.23074148819435,77.09611529954098,86.89293195926918
