epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,25255.5344080925,25255.5344080925,2515.899468809366,48.46289901457087,50.86273336520545,55.60515455234566,42.0913297370299,46.440726566008024,69.34445476100953
1,19321.287818193436,19321.287818193436,2430.289806678891,53.94592773519751,55.49541134401971,57.46652067716668,46.364689722910704,49.82066045850754,70.42718252902493
2,17598.879769444466,17598.879769444466,2378.3955247700214,44.56329487071507,49.04047296077748,55.03242651393919,44.52765905201851,52.54024874961819,69.58847136641626
3,16612.258991599083,16612.258991599083,2326.6658334359527,55.73991409079424,58.1764321495076,59.866924955782025,52.068386037339145,57.483583096970925,72.75608314980931
4,15892.260364055634,15892.260364055634,2270.3822022527456,54.05541986018698,57.264207890108125,59.2099722058452,51.98014103852854,58.78893069291881,72.58189519563533
5,15324.56414937973,15324.56414937973,2220.998841434717,56.961172407984506,59.774664170030974,60.75128442685084,54.79477282667915,61.169282405372904,73.93933348168724
6,14875.23553442955,14875.23553442955,2177.440675035119,59.95114966731239,62.281799785288015,65.29941884949044,56.71084032259302,62.16202711463001,75.85693567323261
7,14529.22766494751,14529.22766494751,2135.4206273965538,57.66865998483955,60.88087515551542,61.62722142676661,57.06458766565121,64.00254772948094,75.26607785510939
8,14122.927022218704,14122.927022218704,2098.4865533709526,51.96664701423398,56.00869355901877,59.5131811673545,54.194706834767,62.24667399134517,73.89943139526854
9,13856.15451669693,13856.15451669693,2053.4766932632774,53.230017687189424,57.150606947791644,60.38069569611724,56.027900766580466,63.75604645500418,74.99904081523032
10,13223.501893639565,13223.501893639565,2001.048279888928,58.60355428282658,61.71999526122375,64.59193127263539,60.29435462211957,66.94478803347107,78.21115877193655
11,12757.852291941643,12757.852291941643,1953.0644130390137,50.998062831634805,55.09575233414947,59.85850248462899,55.654202380312924,63.76105722715252,74.83943246955548
12,12286.435764610767,12286.435764610767,1900.4804591601714,59.092057609702685,62.167535627577486,66.32696033016087,62.51505920088398,69.30230436583433,80.43723478541118
13,11879.870989084244,11879.870989084244,1839.1743077728897,57.52547797523793,61.029755108889184,65.20677166680704,62.085344424067095,69.35993855509602,79.91467092288921
14,11510.050646662712,11510.050646662712,1793.3011429421604,59.260507032763414,62.6049821225199,66.78177377242483,64.17022843944474,71.21703403693816,81.69184846415335
15,11177.460390150547,11177.460390150547,1741.5143005251884,60.77655184030995,63.797604940749075,68.87054661837783,65.26907051159078,71.8503934017136,82.80066605790407
16,10911.317440390587,10911.317440390587,1698.4217262007296,58.49406215783711,62.01266818919967,66.74808388781268,65.12020503533637,72.33029355990381,82.24280419585786
17,10607.542452931404,10607.542452931404,1649.4882233878598,52.93523119683315,57.0670351313477,62.47789101322328,60.73941635525134,68.58744227353505,78.6608245919628
18,12173.65810495615,12173.65810495615,1791.2883087461814,59.20154973469216,62.56399200324002,67.0765602627811,65.5575932903107,72.5469193081732,82.98022544678827
19,11577.755265057087,11577.755265057087,1711.1857648286968,59.08363513854965,62.55003090827225,67.14394003200539,66.7024762314014,73.84293326614979,83.34241361581964
20,11313.218128323555,11313.218128323555,1673.2413444621488,57.12962183104523,60.854310894403014,65.8468794744378,65.94126719818291,73.45097852756999,82.42773501945227
21,11100.468654155731,11100.468654155731,1645.4341999748722,60.97026867682978,64.37372924708549,68.60102754148068,69.20709950199127,76.07604446129888,85.34212202364967
22,10979.88165640831,10979.88165640831,1620.1315173823386,59.79954518655774,63.256525581444755,67.9103849069317,68.9139726363769,75.90308321703124,85.1027095051374
23,10799.668120026588,10799.668120026588,1600.6799980485812,58.13189589825655,61.85456495904916,67.15236250315843,68.26556373207283,75.59645387904965,84.25632486437128
24,10714.030103862286,10714.030103862286,1588.1234024502337,59.98483955192454,63.32549067742827,68.28939610881832,70.05041475149442,77.06055020251391,85.84243279951504
25,10514.429292023182,10514.429292023182,1550.6205074954778,61.248210224879976,64.38421223854483,69.4432746567843,71.08479960711792,77.65698612989736,86.8346135252726
26,10458.865118384361,10458.865118384361,1542.234381367918,59.98483955192454,63.43874399236472,68.34835340688959,70.74409717692738,77.7151467646943,86.42178040040208
27,9628.319605648518,9628.319605648518,1459.5265509625897,56.523203908026616,60.32445092672483,66.2174682051714,67.87498369385891,75.2469119870957,84.14736147453556
28,9294.146657019854,9294.146657019854,1413.0617234068923,59.369999157752886,62.75209195045856,68.74420955108229,70.66966443880017,77.46281565133734,86.54071931184248
29,9083.610185652971,9083.610185652971,1389.1405396331102,53.37319969679104,57.56111513479206,63.825486397709085,66.43774123496958,73.9101703217296,82.27426545630338
30,8765.538060694933,8765.538060694933,1337.590658285655,59.05836772509054,62.644473225250856,68.53364777225639,71.88514337893938,78.7204821525531,87.62344707985788
31,8527.135267019272,8527.135267019272,1291.1290469306987,58.59513181167355,62.30183314402676,68.2809736376653,71.53446542714416,78.59055639857144,86.99882595784192
32,8346.474546939135,8346.474546939135,1264.4404684838373,58.88991830202981,62.615851195124854,68.52522530110335,72.27802546060053,79.2805750738984,87.65721038375064
33,8125.468726366758,8125.468726366758,1222.1165420963662,61.10502821527836,64.3888253728403,70.09180493556809,73.53494118278992,80.05573446960288,88.76065654279115
34,7935.318528354168,7935.318528354168,1182.9045072129811,58.51932957129622,62.28678876779968,68.4915354164912,72.88576493067012,79.8460867835454,88.05392920449052
35,7735.6542655825615,7735.6542655825615,1148.4290838649613,54.93977933125579,59.03993777185115,65.81318958982565,70.08571275101865,77.19994541157058,85.25541172047053
36,8560.923385381699,8560.923385381699,1242.1223877592129,59.47949128274236,62.99547092110556,69.02215109913249,73.44362679271633,80.18979690355326,88.93024041007067
37,9032.373245984316,9032.373245984316,1289.574188648723,58.73831382127516,62.46559995515765,68.53364777225639,74.15802760917441,80.9933686758164,88.94482001856981
38,8759.361106097698,8759.361106097698,1246.3547066056635,57.30649372525899,61.20275517637448,67.77562536848312,73.47892479224058,80.39789148928635,88.09997007343519
39,8533.215696662664,8533.215696662664,1217.9255314280745,59.99326202307757,63.60096661689161,69.23271287795839,75.93904188951726,82.52542456293551,90.26465826165025
40,8428.218244165182,8428.218244165182,1193.8064619675279,58.6540891097448,62.36062461553047,68.57576012802156,74.99443672833586,81.70462984736841,89.57864931437473
41,8271.23432892561,8271.23432892561,1177.0532739631599,58.30876779247031,62.180616639120345,68.71051966647015,75.30751463715958,82.11575006459026,89.45664101167137
