epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,22906.25790989399,22906.25790989399,0.0,11.959909037311547,13.4832124872919,-1,15.129796883033173,17.99737526228592,-1
1,17005.393461942673,17005.393461942673,0.0,14.259243662090457,15.306140979938684,-1,18.282061710111343,20.7079533725419,-1
2,15319.215613365173,15319.215613365173,0.0,29.672365872146887,33.70673589193663,-1,33.89835710832649,41.501831869670845,-1
3,14361.311495304108,14361.311495304108,0.0,21.873157584435273,24.03273750423217,-1,27.623754018984187,32.39648208802815,-1
4,13746.725489377975,13746.725489377975,0.0,29.419691737555798,32.603235283525045,-1,34.737835618750914,41.519674443515015,-1
5,13233.437201738358,13233.437201738358,0.0,28.198433420365536,31.061260199399662,-1,34.49919044805439,40.84596382247406,-1
6,12812.665068387985,12812.665068387985,0.0,24.265139391897584,26.474306992582733,-1,31.10214166775374,36.23102053456132,-1
7,12467.646857380867,12467.646857380867,0.0,28.788006401078075,31.975026711024704,-1,36.049233035858165,42.74644972977101,-1
8,12136.697438955307,12136.697438955307,0.0,32.460203823801905,36.360952527806354,-1,39.52148190210177,47.316726930117554,-1
9,11867.432333827019,11867.432333827019,0.0,29.840815295207612,32.91541633588301,-1,37.7420023173904,44.410976612718756,-1
10,11292.845201909542,11292.845201909542,0.0,31.045228670091806,34.536118813945144,-1,39.625073857227264,46.64936052513732,-1
11,11049.244583547115,11049.244583547115,0.0,32.44335888149583,36.25059689130369,-1,41.38690444217651,48.866388445025926,-1
12,10863.166629254818,10863.166629254818,0.0,30.53145792975659,33.95085770418439,-1,39.68492698685533,46.70054605913539,-1
13,10706.623112797737,10706.623112797737,0.0,30.219826497094246,33.341307681454595,-1,39.89518028836931,46.55333738440497,-1
14,10531.279737174511,10531.279737174511,0.0,32.33386675650636,35.85750138368232,-1,42.196456387786895,49.58199495919162,-1
15,10371.649820029736,10371.649820029736,0.0,30.969426429714478,34.44118392495579,-1,41.46670861501393,48.399542115235974,-1
16,10259.987462103367,10259.987462103367,0.0,28.611134506864314,31.455905184722003,-1,39.557547249441754,45.78932590383401,-1
17,10151.0730189085,10151.0730189085,0.0,31.6011117661922,35.233082636663354,-1,42.554807817739544,49.82306311400482,-1
18,10006.522874116898,10006.522874116898,0.0,32.05592520845616,35.72453338828939,-1,43.35284954611377,50.54464238891779,-1
19,9876.7921282053,9876.7921282053,0.0,30.320896150930682,33.37658423062698,-1,41.670055786186204,48.125870904711505,-1
20,9564.084475398064,9564.084475398064,0.0,31.525309525814873,34.83408280452852,-1,43.25462902569848,50.12799864192234,-1
21,9481.843673586845,9481.843673586845,0.0,31.73587130464078,35.008259340104,-1,43.43955984929289,50.28522226671925,-1
22,9386.083191990852,9386.083191990852,0.0,32.05592520845616,35.47961587783418,-1,44.35347109784452,51.269695071491675,-1
23,9302.510381162167,9302.510381162167,0.0,31.92116567000758,35.358741429779094,-1,44.3427282284241,51.30737370744116,-1
24,9169.568880021572,9169.568880021572,0.0,30.37985344900194,33.589170546129886,-1,43.26997598201337,49.791660570907666,-1
25,9134.358805000782,9134.358805000782,0.0,32.114882506527415,35.65173353656716,-1,44.85301452589415,51.72114051523241,-1
26,9952.377969324589,9952.377969324589,0.0,33.075044217973556,36.84185714258443,-1,44.64352857219592,52.04515296708018,-1
27,9667.50607073307,9667.50607073307,0.0,29.00699065105702,32.09452909864694,-1,41.90946830469847,48.13572037219028,-1
28,9433.35404330492,9433.35404330492,0.0,34.279457592857746,38.10601009857073,-1,45.90811777254276,53.46573518586278,-1
29,9149.355980277061,9149.355980277061,0.0,30.278783795165502,33.5350210852143,-1,43.457208849055014,50.098923262903114,-1
30,8968.593990623951,8968.593990623951,0.0,31.73587130464078,35.40080063279176,-1,44.91670439460094,52.05192472098398,-1
31,8772.176698684692,8772.176698684692,0.0,31.365282573907184,34.83282626849889,-1,45.193716956084685,52.043397339445875,-1
