epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,26534.63636469841,26534.63636469841,3764.502660691738,47.098458687778994,49.92070006793788,55.546197254274404,41.67235782963344,46.74782460315762,69.31913228308996
1,20590.36513352394,20590.36513352394,3637.185944929719,54.105954687105196,55.76422650877306,57.272803840646844,46.55499198121532,50.05115524882342,70.37270083410708
2,18826.83488559723,18826.83488559723,3548.821814224124,44.950728543754735,49.35407695948927,55.71464667733513,44.791626700634595,52.74047360497446,69.89157375363531
3,17781.42728495598,17781.42728495598,3471.7357827723026,56.44740166764929,58.44639680990807,60.372273224964204,51.9916512557647,56.906414870386755,73.08681005839517
4,17082.368378520012,17082.368378520012,3390.2776230424643,52.901541312221006,56.16319483222084,58.999410427019285,51.8189979972222,58.68447158563977,72.68241775949785
5,16486.59175157547,16486.59175157547,3314.7093248590827,56.253684831129455,58.91360190547742,61.601954013307505,54.718038045104706,61.150912358549384,74.62304038551554
6,15988.771680235863,15988.771680235863,3244.7021821066737,59.38684410005896,61.825297930611725,64.87829529183863,56.66019536675389,62.26650574931296,76.23216875513164
7,15643.163540244102,15643.163540244102,3187.959326669574,56.89379263876021,60.05844852724724,61.53457424408322,57.110628534595875,64.03532274338707,75.42108211388977
8,15206.524707436562,15206.524707436562,3122.5905127748847,51.52867851427609,55.52686623730913,59.48791375389539,54.24151505152741,62.26563737102454,74.19946439122461
9,14850.538578271866,14850.538578271866,3056.0857569184154,58.36772509054156,61.37823360283819,64.44032679188074,59.14256555068716,65.9550748359157,77.92954212355835
10,14160.219364404678,14160.219364404678,2939.71303621307,57.197001600269516,60.82041458459009,64.76880316684915,60.17157897160046,67.45974042203521,78.74293080824745
11,13853.357186734676,13853.357186734676,2894.423316475004,55.48723995620315,59.249555234073576,62.73898761896741,59.66589676102487,67.3981821752318,77.48294569479508
12,13581.834069669247,13581.834069669247,2829.702580070123,58.906763244335885,62.39219963930566,65.94794912827423,62.59486337372141,69.77178195475773,80.43032865506949
13,13409.610896468163,13409.610896468163,2800.259395338595,59.75743283079255,62.828650783450605,66.39434009938516,63.321541755231394,70.3176451235753,80.85467199717615
14,13174.96608543396,13174.96608543396,2757.5106935370713,58.24981049439906,61.672373801004426,65.27415143603133,62.83043915315495,70.21932330331403,80.2768590919206
15,13004.064108848572,13004.064108848572,2707.8243417087942,58.915185715488924,62.38587417798919,66.5206771666807,64.42268587082467,71.50879636275813,81.8997997222201
16,12830.592372834682,12830.592372834682,2665.946013599634,61.55141918638929,64.3122142641796,69.1653331087341,66.03718567515098,72.4773432029138,83.48437296173236
17,12673.50144803524,12673.50144803524,2628.9703501230106,58.69620146550998,62.287455229537606,66.67228164743536,65.64890768038428,72.9807289053691,82.76383336274833
18,12489.322022736073,12489.322022736073,2591.8351649185643,58.20769813863387,61.70600211355959,66.31853785900783,65.72103837506427,73.11239419843358,82.92574375187041
19,12303.093145728111,12303.093145728111,2544.4962714323774,61.72829108060305,64.62549592553879,69.08953086835677,67.87421634604317,74.39495729828937,85.0459257667723
20,11917.049853980541,11917.049853980541,2461.667612537276,59.706898003874336,63.051215714273475,67.89353996462562,67.84505712904489,75.07909762193323,84.63846407661201
21,12772.18646401167,12772.18646401167,2609.70137296943,55.31036806198939,59.15141240919207,64.25503242651394,63.537933839271325,71.29958513724073,81.09101512442545
22,12422.661072194576,12422.661072194576,2553.293846387416,60.53230017687189,63.52957393155416,68.90423650298997,67.42378317820118,74.0031942154836,84.86406433444087
23,12085.425397634506,12085.425397634506,2493.203889699653,53.33108734102586,57.28771337870427,62.2504842920913,62.89566371749323,70.74942517627609,79.4396826249434
24,11769.743537187576,11769.743537187576,2428.3359212186188,60.574412532637076,63.831264418256154,68.73578707992925,68.79119698585778,75.82328618433407,85.80943684343802
25,11417.719671010971,11417.719671010971,2343.1377882109955,59.54687105196665,63.02089169082732,68.13779162806367,68.70448668267866,75.96454851040477,85.57616310745172
26,11172.639573574066,11172.639573574066,2294.048207472544,59.15101490777394,62.5001286350183,68.44942306072602,69.90308397087148,77.01329126813195,86.69879296188583
27,10894.757928013802,10894.757928013802,2232.180446586106,61.47561694601196,64.54707572849928,69.96546786827255,70.67963996040486,77.32977408056384,87.38787130042434
28,10673.391378581524,10673.391378581524,2167.2477783586364,59.681630590415224,63.35730209294051,68.65156236839888,70.73795839440143,78.01494433425631,87.33952838803245
29,10421.610523819923,10421.610523819923,2112.027730235597,55.916785985008005,59.90162896721913,66.02375136865156,68.50267420713787,76.0448027248789,84.76968055310431
30,10198.463947594166,10198.463947594166,2053.1362563138828,60.19540133075044,63.659280119261965,69.46011959909038,71.59585325240371,78.4801833178313,88.06083533483222
31,10204.907508432865,10204.907508432865,2015.8153957634931,58.79727111934642,62.500036021432685,68.46626800303208,72.55350332645278,79.71507912531656,88.31099072276491
32,9898.907672464848,9898.907672464848,1959.0828512609005,57.96344647519582,61.81600770852088,67.6324433588815,72.36857250285837,79.71988597879061,87.82295751195144
33,9667.722311407328,9667.722311407328,1898.7022493612021,59.22681714815127,63.02152872587496,69.39273982986609,74.02374174141913,81.18297519152429,89.60857587918876
34,9533.636457711458,9533.636457711458,1869.0954548965674,59.690053061568264,63.133382605158424,68.92108144529605,74.2508766948795,81.31735600255647,89.62162079205642
35,9359.174906939268,9359.174906939268,1837.713675615145,58.148740840562624,61.815980803425056,67.97776467615599,73.93626409042426,81.0400144297611,88.8097668029988
36,9256.55040627718,9256.55040627718,1811.4666343100835,59.782700244251664,63.34557918156316,69.58645666638591,75.36813511460339,82.33896373347052,90.39740943377404
37,9095.412795573473,9095.412795573473,1758.1285152125638,60.726017013391726,64.15839920949779,70.50450602206688,76.23984223328908,82.89216872978476,91.16245520607126
38,8975.099754139781,8975.099754139781,1732.9587556880433,59.184704792386086,62.95577990686104,68.87054661837783,75.99352358443512,82.94923741244654,90.71739347293948
39,8905.314168840647,8905.314168840647,1713.7613492897945,58.569864398214435,62.38646275362908,68.7694769645414,75.7119069360569,82.73814080919743,90.37131960803873
40,8767.264115393162,8767.264115393162,1675.9237521485193,60.93657879221764,64.43895213838151,70.34447907015918,77.14991674276199,83.80375708795694,91.81777024071701
41,8934.917681992054,8934.917681992054,1702.372052830644,59.681630590415224,63.39647643388328,69.48538701254948,77.08315748279223,83.94921455006906,91.42181876779287
42,9379.06551900506,9379.06551900506,1780.6961247726576,60.389118167270276,63.94158904270553,69.99073528173166,77.37935373966958,84.13872173809496,91.78477428464
43,9267.696242332458,9267.696242332458,1771.047810695134,58.165585782868696,62.07768254228005,68.68525225301103,76.48923027340602,83.39088032831847,90.62147499597143
44,9223.822204321623,9223.822204321623,1769.2274916367023,60.481765349953676,64.04171652433628,70.20129706055756,77.75151743030564,84.48629093755132,92.00653780339015
45,9118.15658596158,9118.15658596158,1748.0888402281562,61.18083045565569,64.63466281784561,70.63926556051545,78.36999976979565,84.87530200921609,92.47308527536276
46,9059.843713760376,9059.843713760376,1729.133473512833,59.1425924366209,62.92904813880259,69.13164322412196,77.53359065063421,84.3745872281409,91.55610463554815
