epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc
0,24183.126081228256,24183.126081228256,1262.9303965121508,47.66276425503243,50.30372961109018,55.301945590836354
1,18255.94421541691,18255.94421541691,1221.894440665841,53.35635475448497,55.03717110724613,56.45582413880233
2,16453.36995089054,16453.36995089054,1194.2888953462243,54.73764002358292,56.753497135166576,58.21612060978691
3,15490.058430194855,15490.058430194855,1168.5110592544079,52.70782447570117,55.87889477226862,57.46652067716668
4,14820.017972230911,14820.017972230911,1145.5079210624099,57.180156657963444,59.36165278471158,60.59125747494315
5,14304.189074754715,14304.189074754715,1125.1903305239975,56.63269603301609,59.262987243208784,59.875347426935065
6,13859.323137521744,13859.323137521744,1104.581467345357,57.87922176366546,60.408458970721504,62.24206182093826
7,13482.866323590279,13482.866323590279,1087.8247570488602,58.384570032847634,61.1515304799986,63.303293186220834
8,13115.836981773376,13115.836981773376,1063.1902601141483,55.52092984081529,58.83260767158997,60.49861029225975
9,12842.546372771263,12842.546372771263,1050.0248781256378,60.19540133075044,62.76762417155453,66.73966141665964
10,12190.891041815281,12190.891041815281,1008.9244039095938,58.20769813863387,61.4483050135628,65.03832224374632
11,11906.857520759106,11906.857520759106,990.2609858419746,59.866924955782025,63.02350289217289,66.38591762823212
12,11756.580337524414,11756.580337524414,979.4127784017473,60.220668744209554,63.135299672818014,66.57963446475196
13,11528.888247668743,11528.888247668743,963.5020948043093,59.81639012886381,62.94841157867287,66.44487492630337
14,11351.273316681385,11351.273316681385,949.5374843077734,59.49633622504843,62.58111781164391,66.88284342626126
15,11198.698119580746,11198.698119580746,935.4102536821738,58.477217215531034,61.74328395350841,65.4762907437042
16,11049.006272792816,11049.006272792816,923.8346053892747,58.94887560010107,62.1040915137245,66.57121199359892
17,10893.491624474525,10893.491624474525,910.7283734502271,60.36385075381117,63.53733600976152,68.17148151267583
18,10775.005752503872,10775.005752503872,900.3003051877022,59.74901035963952,63.11104939102284,67.50610629158595
19,10607.346444606781,10607.346444606781,883.2900601467118,60.56599006148404,63.99126450787911,68.34835340688959
20,10297.160666584969,10297.160666584969,863.7444227593951,61.22294281142087,64.50427829993649,68.9295039164491
21,10166.181730389595,10166.181730389595,853.2172145005316,60.2543586288217,63.57885842659259,68.213593868441
22,10069.175000965595,10069.175000965595,842.7858953466639,60.01010696538364,63.413247063435435,68.33150846458351
23,9973.185832321644,9973.185832321644,838.862541474402,59.21839467699823,62.67528453515371,67.71666807041186
24,9884.882479727268,9884.882479727268,830.871565559879,60.10275414806704,63.47325913874144,68.13779162806367
25,9810.209479272366,9810.209479272366,821.9697324717417,59.614250821190936,63.1417068662741,68.00303208961509
26,9723.724486589432,9723.724486589432,813.273689056281,60.128021561526154,63.73610633665905,68.43257811841994
27,9614.13903850317,9614.13903850317,807.8591263764538,60.801819253769054,64.1603700056157,68.7694769645414
28,9562.731260418892,9562.731260418892,797.4741718291771,59.184704792386086,62.79181329004653,67.89353996462562
29,9494.104015409946,9494.104015409946,792.2915583490394,62.63791796513097,65.75575562751936,70.23498694516971
30,9310.872559130192,9310.872559130192,779.3743875666987,60.911311378758526,64.2784198734361,69.55276678177377
31,9258.754476726055,9258.754476726055,773.2226716014557,60.67548218647351,64.1125175202676,69.40116230101911
32,9215.867580473423,9215.867580473423,769.9650753578171,61.46719447485892,64.69918756039299,69.80544091636486
33,9172.353890627623,9172.353890627623,766.2406584294513,61.18083045565569,64.58752246447499,69.77175103175271
34,9119.497870326042,9119.497870326042,757.0108225638978,60.742861955697805,64.18408190758973,69.55276678177377
35,9100.618054270744,9100.618054270744,761.3390539500397,62.01465509980628,65.21403664687577,70.29394424324097
36,9025.044159799814,9025.044159799814,754.8313814420253,60.97026867682978,64.403396288698,69.58645666638591
37,8999.887056589127,8999.887056589127,751.3707512980327,61.73671355175608,65.02402929349606,70.00758022403774
38,8952.715760529041,8952.715760529041,746.219003531849,61.08818327297229,64.47943277462255,69.40958477217215
39,10158.67438864708,10158.67438864708,834.3817710569128,57.289648782952916,60.89864334632125,66.26800303208961
40,9965.452604353428,9965.452604353428,820.8904409529641,59.48791375389539,62.85028200500992,67.91880737808474
41,9726.388000518084,9726.388000518084,809.6296685221605,60.71759454223869,64.10485114191651,69.2579802914175
42,9492.149483650923,9492.149483650923,790.6337885418907,57.83710940790028,61.41072968585457,67.03444790701592
43,9304.766450226307,9304.766450226307,770.6743687870912,62.006232628653244,65.1648638088681,70.06653752210899
44,9102.350427985191,9102.350427985191,756.4543665705714,61.30716752295123,64.5690896434127,70.34447907015918
45,8942.647921949625,8942.647921949625,745.2578647914343,59.83323507116988,63.25249888989859,68.85370167607176
46,8769.872063845396,8769.872063845396,733.5814746292308,60.27120357112777,63.995487961270726,69.30009264718268
47,8564.285545378923,8564.285545378923,711.1452479485888,59.007832898172325,62.427776486511206,68.57576012802156
48,8455.850001573563,8455.850001573563,706.8381356499158,60.00168449423061,63.75925721404382,69.50223195485556
49,8377.167820036411,8377.167820036411,683.6327390030492,59.79954518655774,63.29754779179067,69.19060052219321
